%
% TAO problem file
% Mode         : grid
% File name    : graphic.tao.radial.arff
% Generated at : Fri Nov 24 18:18:51 CET 2000
%

@RELATION TAO_grid

@ATTRIBUTE x     REAL
@ATTRIBUTE y     REAL
@ATTRIBUTE a     REAL
@ATTRIBUTE b     REAL
@ATTRIBUTE c     REAL
@ATTRIBUTE d     REAL
@ATTRIBUTE class {black,white}

@DATA
0,0.916667,0.111329,-0.292051,0.0980716,0.302982,white
0.0416667,0.5,0.0355698,-0.34393,0.267507,-0.223911,black
0.0416667,0.708333,0.302103,0.0294818,0.0243325,-0.0888099,white
0.0833333,0.125,0.348141,0.129569,0.278805,0.191675,white
0.0833333,0.208333,0.176975,-0.415515,-0.0312767,0.0881133,white
0.125,0.25,0.231562,-0.386762,0.317982,0.0358998,white
0.125,0.416667,0.0217271,0.531362,0.356728,-0.282649,black
0.125,0.875,0.00409378,0.332891,0.587258,-0.303228,white
0.166667,0.25,-0.412958,0.085326,0.600339,-0.00238192,white
0.166667,0.541667,0.477058,-0.192004,0.0572218,0.472917,white
0.208333,0,-0.0563539,0.0936224,-0.567294,-0.422758,white
0.208333,0.333333,0.179165,-0.372146,0.205743,0.115717,white
0.208333,0.791667,-0.470671,0.561604,0.131642,-0.0978799,white
0.25,0.166667,0.0668604,-0.365411,-0.1416,0.487042,white
0.25,0.5,0.469105,-0.188789,0.107032,0.145452,white
0.291667,0.0416667,-0.355132,-0.0168776,0.0270069,-0.224063,white
0.291667,0.375,0.242586,0.118457,-0.0525466,0.270133,white
0.333333,0.166667,0.054967,-0.237277,-0.141118,0.122633,white
0.333333,0.5,-0.126876,-0.151442,0.0494351,-0.6964,white
0.333333,0.875,-0.150261,-0.0509185,0.0792756,-0.137237,white
0.375,0.458333,0.20189,-0.15082,-0.305859,0.338959,white
0.375,0.5,0.224637,-0.0404387,0.170829,0.324805,white
0.416667,0.125,0.172861,0.288619,0.142939,0.0340739,white
0.416667,0.416667,-0.110195,0.0356102,-0.059752,0.0875644,white
0.458333,0.0833333,0.711259,0.227704,0.207495,-0.381296,white
0.458333,0.458333,0.00773294,0.157068,-0.405376,-0.233852,white
0.5,0.166667,0.382843,-0.115008,0.346593,-0.211327,white
0.5,0.208333,-0.315018,0.300032,-0.344368,0.0258083,white
0.541667,0.125,-0.240286,-0.222335,0.246557,0.0356063,white
0.541667,0.291667,-0.3885,-0.0556242,-0.288019,0.373703,white
0.541667,0.583333,-0.0176119,-0.387363,-0.0754449,0.425946,white
0.583333,0.166667,0.0346642,-0.0423499,0.14743,0.043935,white
0.625,0,-0.0428327,-0.223454,0.265544,0.0609319,white
0.625,0.333333,-0.296939,-0.420711,0.321441,0.0756198,white
0.625,0.541667,-0.198732,-0.246566,0.10952,0.572042,white
0.666667,0.458333,-0.0426138,0.0893415,-0.15741,-0.129556,white
0.708333,0.0416667,-0.0474198,-0.502711,-0.297833,0.291704,white
0.708333,0.583333,0.0308239,-0.469209,0.269999,0.275083,white
0.75,0,0.348824,0.348565,-0.0660725,0.341563,white
0.791667,0.0416667,0.00723746,0.0788373,0.390408,0.0844843,white
0.791667,0.375,0.0231779,0.40385,-0.182458,0.196958,white
0.833333,0.208333,-0.287166,-0.0884085,-0.0432135,-0.253483,white
0.833333,0.333333,0.0430533,-0.428691,-0.212844,0.234483,white
0.916667,0,0.132984,0.4108,0.122756,0.376286,white
0.916667,0.333333,0.202668,-0.0575364,-0.306117,-0.273149,white
0.958333,0.0833333,0.0778417,-0.107426,0.0653635,0.210815,white
0,-0.791667,-0.354524,-0.195664,0.0437647,0.250148,black
0.0416667,0,0.213389,-0.693888,-0.205223,-0.426796,white
0.0416667,-0.208333,-0.107141,0.464452,-0.017907,-0.16303,black
0.0416667,-0.958333,-0.17045,0.299897,0.121725,-0.0372932,black
0.0833333,-0.333333,0.166744,-0.110155,0.0724708,0.329817,black
0.0833333,-0.5,-0.590773,-0.180689,0.49802,0.00423318,white
0.0833333,-0.958333,-0.17138,0.513153,-0.340631,-0.331145,black
0.125,-0.791667,0.147659,-0.0408395,0.0502143,-0.306776,black
0.125,-0.875,-0.0547738,0.187603,-0.08961,-0.0472586,black
0.166667,-0.5,0.0247302,-0.127581,-0.450459,-0.672409,white
0.166667,-0.541667,-0.143373,-0.172076,0.361105,-0.21976,black
0.208333,-0.125,-0.651352,0.0968724,0.0820559,0.291966,black
0.208333,-0.416667,-0.14142,-0.0546358,0.000961347,-0.245236,black
0.208333,-0.875,0.207459,0.367276,0.188895,0.161772,black
0.25,-0.5,0.124347,0.547418,-0.0573478,-0.130596,black
0.25,-0.875,0.256467,-0.226415,0.0931687,-0.304727,black
0.291667,-0.5,0.10723,-0.483818,-0.0892971,-0.0722776,black
0.291667,-0.791667,-0.0410533,0.622464,-0.0336021,-0.129344,black
0.291667,-0.916667,-0.362909,0.197252,-0.431829,0.0943446,white
0.333333,-0.125,0.00515084,0.260825,0.0137533,-0.317859,white
0.333333,-0.458333,0.49175,0.141158,-0.346871,0.134867,black
0.333333,-0.75,-0.298104,-0.359947,0.0932249,0.466595,black
0.375,-0.791667,0.0430479,-0.423544,-0.410418,0.476747,black
0.416667,-0.208333,-0.249777,0.224495,-0.251733,-0.618702,white
0.416667,-0.416667,-0.470463,0.298421,0.0462574,0.352858,black
0.458333,-0.166667,0.0495659,0.213264,0.311794,0.0516617,white
0.458333,-0.5,0.0937398,0.0256561,0.415475,0.213873,black
0.5,-0.0833333,0.100595,0.214066,0.372468,0.032009,white
0.5,-0.416667,0.134975,-0.171064,0.409229,-0.297129,white
0.5,-0.5,0.264056,-0.38086,0.102429,-0.429964,black
0.5,-0.666667,0.291792,0.135738,0.609855,0.456314,white
0.541667,-0.208333,-0.459559,-0.499116,-0.231854,0.108201,white
0.541667,-0.708333,-0.172236,0.0353464,-0.212669,-0.314123,white
0.583333,-0.166667,0.367056,0.607717,0.191296,0.353749,white
0.625,-0.0833333,0.151717,0.336171,0.123707,-0.0453389,white
0.625,-0.375,-0.597317,0.0512266,-0.147254,-0.204364,white
0.625,-0.75,-0.132364,0.582179,-0.559976,0.352395,white
0.666667,-0.25,0.493835,0.46019,-0.576187,0.200419,white
0.708333,-0.125,0.238702,-0.215786,0.0692331,0.16237,white
0.708333,-0.333333,0.438628,-0.681536,0.216633,0.209487,white
0.75,-0.125,0.172059,0.0769251,-0.134133,0.437524,white
0.791667,-0.0416667,-0.209285,-0.552799,0.18002,-0.149929,white
0.791667,-0.416667,-0.516763,-0.0894768,0.0244887,0.15761,white
0.833333,-0.208333,0.436549,0.269304,-0.756622,-0.0286046,white
0.875,-0.0833333,-0.139341,0.462956,0.102602,0.0395214,white
0.875,-0.458333,0.63131,-0.574977,-0.130704,0.0945014,white
0.958333,-0.0416667,0.585429,0.623102,0.00380912,-0.193854,white
0.958333,-0.208333,0.130499,0.211858,0.0624467,0.954945,white
-0.0416667,-0.125,-0.126222,0.272612,0.321729,-0.0215746,black
-0.0416667,-0.166667,0.317366,-0.616895,-0.24424,-0.407803,black
-0.0416667,-0.541667,-0.0228309,0.51638,0.185749,0.0396576,white
-0.0416667,-0.875,0.239843,-0.0418281,-0.264332,0.229759,black
-0.0833333,-0.333333,0.0193944,0.280472,-0.187626,-0.167405,black
-0.125,-0.208333,0.300668,0.137182,-0.0460819,0.308995,black
-0.125,-0.416667,-0.42474,0.478028,0.000525495,0.187422,white
-0.125,-0.583333,-0.476474,0.292428,-0.389638,-0.275421,white
-0.125,-0.833333,0.16926,0.149898,-0.182019,0.390773,black
-0.166667,-0.166667,0.0748827,-0.156049,0.131086,0.0380063,black
-0.166667,-0.875,0.497961,-0.0159341,-0.039813,0.118307,black
-0.208333,-0.0833333,-0.296093,-0.325754,-0.162946,0.254684,black
-0.208333,-0.666667,-0.56177,-0.0183259,0.0457514,-0.285062,black
-0.25,-0.125,0.431257,0.169833,-0.113192,0.205076,black
-0.25,-0.166667,-0.0677673,0.374796,-0.0120075,-0.0672358,black
-0.25,-0.791667,0.0958276,-0.0459306,-0.117186,-0.432642,black
-0.291667,-0.208333,0.0517305,0.615454,0.0269921,0.137386,black
-0.291667,-0.708333,-0.129385,-0.0710721,0.286572,-0.139826,black
-0.291667,-0.833333,-0.0567508,0.103274,-0.0836949,0.142622,black
-0.333333,-0.625,-0.185278,-0.0560185,-0.0671385,0.0932007,black
-0.333333,-0.708333,0.115846,-0.0831765,0.131731,0.647679,black
-0.375,-0.208333,-0.178527,-0.0433063,-0.138281,-0.331653,black
-0.375,-0.875,-0.554988,-0.434321,0.100748,0.485951,black
-0.416667,-0.25,-0.423109,-0.0316426,0.0565456,-0.122253,black
-0.416667,-0.541667,-0.163199,-0.245883,-0.101264,0.282908,black
-0.458333,-0.333333,-0.21924,0.116397,-0.0240468,0.0796796,black
-0.458333,-0.5,0.150819,0.260442,0.359291,0.264965,black
-0.5,-0.0416667,0.128624,-0.181615,0.0682735,-0.369733,black
-0.5,-0.375,-0.0643862,-0.178204,-0.111524,0.0326646,black
-0.541667,-0.0833333,-0.246751,-0.272389,-0.00745683,0.248436,black
-0.541667,-0.25,-0.1036,-0.200055,-0.219214,0.11387,black
-0.583333,-0.0833333,-0.249094,-0.0931838,-0.660892,0.68273,black
-0.583333,-0.541667,0.0552418,0.0635928,0.525204,0.298057,black
-0.625,-0.166667,-0.21539,-0.0596025,0.0297205,-0.204366,black
-0.625,-0.458333,-0.284818,-0.565003,-0.578993,-0.159813,black
-0.666667,-0.0416667,-0.121595,-0.0316764,0.297617,-0.697524,black
-0.666667,-0.375,-0.489725,0.135861,-0.25802,0.469816,black
-0.708333,-0.125,0.0348525,-0.0162425,0.0283679,-0.194588,black
-0.708333,-0.333333,0.0715809,-0.0467501,0.436075,0.129897,black
-0.75,-0.0416667,-0.271878,0.0851346,0.24179,0.0912402,black
-0.791667,-0.125,0.386397,0.182361,-0.158361,-0.132016,black
-0.791667,-0.458333,0.068949,-0.0189527,-0.45165,-0.108451,black
-0.833333,-0.333333,-0.141808,0.0369558,0.149361,0.320384,black
-0.833333,-0.458333,0.439961,0.171517,-0.469467,0.431608,black
-0.875,-0.291667,0.0287383,0.195005,0.0405003,-0.19904,black
-0.958333,-0.0833333,0.254485,0.0812866,0.422664,-0.289351,black
0,0.5,-0.12592,0.157589,0.0406486,-0.00141506,black
0,0.75,0.22929,-0.0911943,0.204888,0.0795559,white
0,0.833333,0.168369,-0.436383,0.082938,0.0529144,white
-0.0416667,0.291667,-0.336332,-0.226248,0.0248729,0.00226554,white
-0.0833333,0,-0.0263074,-0.148671,0.112388,0.297012,black
-0.0833333,0.208333,-0.426903,-0.0555955,0.0983076,0.125381,white
-0.0833333,0.75,0.331924,0.381308,0.120566,0.0683847,white
-0.125,0.291667,0.0939972,-0.113188,0.378375,0.059989,white
-0.125,0.458333,0.20889,0.139239,-0.165196,0.333917,black
-0.166667,0.208333,-0.135832,0.353109,-0.545908,-0.0969014,white
-0.166667,0.541667,0.0130608,-0.37319,0.182149,-0.166467,white
-0.166667,0.875,0.302504,-0.101107,-0.0590777,0.22956,white
-0.208333,0.291667,0.510075,-0.155998,-0.0977744,-0.197994,white
-0.208333,0.708333,-0.234127,0.0085916,-0.0110719,-0.0861142,white
-0.208333,0.958333,-0.370589,0.0321481,0.256316,-0.127117,black
-0.25,0.291667,0.637843,-0.293132,-0.060318,0.600558,white
-0.25,0.583333,-0.235201,0.0936261,-0.546878,0.127766,white
-0.291667,0.0416667,0.104527,-0.103667,0.262717,0.506281,black
-0.291667,0.166667,0.0990389,-0.307682,0.0544074,0.087906,white
-0.291667,0.75,0.180005,-0.0841178,0.55121,-0.683077,white
-0.333333,0.541667,-0.167323,0.170882,-0.139763,0.100229,white
-0.375,0.0833333,0.415306,-0.0886704,-0.217435,0.190478,black
-0.375,0.375,-0.442326,0.0113383,0.0412203,0.297252,white
-0.375,0.458333,0.0922957,-0.000948232,-0.179978,-0.283,white
-0.416667,0.541667,0.151861,-0.232659,0.269612,-0.0818163,white
-0.416667,0.75,0.242749,-0.164576,0.328549,0.203743,white
-0.458333,0,-0.437208,0.044879,-0.0410625,0.189065,black
-0.458333,0.625,0.12687,-0.0388287,-0.00424808,0.163702,white
-0.458333,0.75,0.423168,-0.210743,0.0943247,0.0742895,black
-0.5,0.166667,-0.318648,-0.414312,-0.221347,0.548833,black
-0.5,0.583333,0.287814,0.331107,0.127127,0.0276492,black
-0.541667,0.0833333,0.753562,-0.466945,-0.222813,-0.14265,black
-0.541667,0.625,0.0565489,-0.19604,0.155359,0.397011,black
-0.583333,0.375,0.375737,0.102325,0.226067,-0.0557106,black
-0.583333,0.583333,0.102689,0.0405984,-0.145727,-0.307488,black
-0.625,0.208333,-0.278739,0.541081,-0.0117252,0.344157,black
-0.625,0.625,-0.0535128,-0.127124,-0.11627,-0.0333452,black
-0.666667,0.375,-0.643987,-0.0298051,0.0867359,0.00175903,black
-0.666667,0.708333,0.027237,0.238807,-0.0827301,-0.065526,black
-0.708333,0.333333,0.0913248,-0.24122,-0.126001,-0.322095,black
-0.708333,0.541667,-0.471285,-0.520259,0.228013,0.0754292,black
-0.75,0.291667,-0.505235,-0.0394342,1.69881e-05,0.311114,black
-0.791667,0.125,0.109901,-0.0193072,0.0431017,-0.315168,black
-0.791667,0.541667,0.272037,0.536165,0.637412,-0.472936,black
-0.833333,0.208333,-0.330435,0.198537,0.365635,0.420954,black
-0.875,0.416667,0.29885,0.0216753,-0.581405,-0.293429,black
-0.916667,0.0833333,0.121937,-0.00983464,0.0558368,-0.326239,black
0,0.333333,-0.0495142,-0.541156,-0.320261,-0.168482,black
0,0.541667,-0.358684,0.0303309,-0.150213,-0.447066,black
0,0.708333,0.454078,0.0627624,0.3121,0.387295,white
0.0416667,0.166667,0.0216337,0.167,0.300797,0.0973067,white
0.0416667,0.916667,0.174048,-0.344896,-0.334395,0.353365,white
0.0833333,0.541667,0.132517,-0.0229476,0.209803,-0.475701,black
0.0833333,0.708333,0.0848603,0.148362,0.335508,0.127853,white
0.125,0.291667,0.449514,-0.122919,-0.288474,0.205945,white
0.125,0.75,-0.00297879,-0.611251,-0.0221132,-0.10097,white
0.166667,0.125,0.0731709,0.0693391,-0.760881,0.168705,white
0.166667,0.666667,-0.294887,0.208373,0.224722,0.213663,white
0.208333,0.0416667,-0.214424,-0.335724,0.0847304,-0.0553416,white
0.208333,0.541667,0.576141,-0.648293,0.345781,0.159712,white
0.208333,0.708333,-0.43394,0.193914,-0.192021,-0.292363,white
0.25,0.333333,-0.17934,0.222828,0.0788349,0.167619,white
0.25,0.708333,0.307972,0.457593,-0.00694744,0.304321,white
0.291667,0.25,-0.188953,0.292166,0.156395,0.0436508,white
0.291667,0.625,0.346165,-0.214056,-0.0522017,0.43565,white
0.333333,0.125,0.418777,-0.0182001,0.193242,-0.35211,white
0.333333,0.458333,-0.293734,-0.346947,-0.135397,0.0435551,white
0.333333,0.75,0.584375,-0.0766212,-0.370788,0.521399,white
0.375,0.416667,-0.554206,-0.0844023,-0.0725735,-0.360597,white
0.375,0.708333,-0.0582248,0.121486,0.490188,0.29529,white
0.416667,0.166667,0.129721,-0.0308354,0.105188,0.354017,white
0.416667,0.708333,-0.211376,-0.064383,0.432348,0.0915933,white
0.416667,0.833333,0.513996,0.392312,0.0267376,-0.0525413,white
0.458333,0.583333,-0.0240809,-0.527122,-0.0667311,-0.181467,white
0.5,0.125,-0.054733,-0.163522,-0.0434103,-0.23888,white
0.5,0.375,-0.0667886,-0.190407,0.488985,-0.506456,white
0.541667,0.0416667,-0.322272,-0.154006,-0.137897,-0.22375,white
0.541667,0.333333,0.149684,0.236179,-0.559165,-0.164849,white
0.541667,0.833333,0.0254836,-0.289246,-0.185577,-0.381854,white
0.583333,0.458333,-0.0679523,-0.282127,-0.829948,0.0536895,white
0.583333,0.583333,0.014055,0.409052,-0.29933,-0.0150997,white
0.625,0.166667,-0.107911,0.48847,0.0538774,-0.0811981,white
0.625,0.75,-0.125911,-0.40973,-0.0285247,-0.273802,white
0.666667,0.416667,-0.0244532,0.192434,-0.306134,0.210109,white
0.708333,0.125,-0.319789,-0.591249,-0.14284,-0.0703205,white
0.708333,0.333333,-0.145099,-0.659799,-0.0277757,-0.368228,white
0.75,0.333333,0.350587,0.0207049,-0.443893,0.314723,white
0.75,0.583333,0.700363,0.700746,-0.0295152,0.205959,white
0.791667,0.125,0.544807,-0.203415,0.0477859,0.0604364,white
0.833333,0.291667,0.0842496,-0.332396,0.299524,-0.00873753,white
0.833333,0.416667,-0.441235,-0.342028,0.104604,-0.203293,white
0.875,0.333333,0.116139,-0.0337247,-0.241454,-0.327399,white
0.916667,0.208333,0.292172,-0.171878,0.0800461,-0.213856,white
1,0,0.264312,-0.084724,0.314001,-0.306216,white
0,-0.0416667,0.462631,-0.0456966,0.205437,-0.310607,black
0,-0.75,-0.0781162,-0.302905,0.24974,-8.56941e-05,black
0.0416667,-0.166667,0.194862,0.20857,-0.240758,0.408185,black
0.0416667,-0.5,-0.335175,0.173311,0.018559,-0.1622,white
0.0416667,-0.875,0.177197,-0.043261,-0.208833,-0.00380386,black
0.0833333,-0.166667,0.180174,-0.359965,0.20937,0.0950513,black
0.0833333,-0.583333,0.102159,0.0618051,0.31374,0.677047,white
0.0833333,-0.916667,-0.0433676,0.211321,0.0819355,0.455292,black
0.125,-0.541667,0.230464,0.0312916,-0.384665,0.322602,white
0.125,-0.75,0.169807,0.0706765,-0.242305,0.118387,black
0.125,-0.958333,-0.168309,-0.289716,-0.0405775,-0.0152735,black
0.166667,-0.375,-0.158569,0.60395,-0.143399,0.281188,black
0.166667,-0.958333,0.479822,-0.129705,-0.0981936,-0.00090724,black
0.208333,-0.333333,0.12923,-0.084362,-0.0786076,-0.346381,black
0.208333,-0.916667,0.393826,0.0597843,0.288237,0.349311,black
0.25,0,-0.118521,0.0207872,-0.421786,0.223836,white
0.25,-0.25,0.198492,-0.226331,0.290711,-0.230369,black
0.25,-0.916667,-0.00538233,0.0447074,-0.101506,0.50601,black
0.291667,-0.25,0.0322819,-0.209731,-0.303102,-0.353475,black
0.291667,-0.75,0.388983,0.0987278,-0.0129857,-0.245692,black
0.333333,-0.0833333,0.371126,0.373292,0.122294,0.307585,white
0.333333,-0.5,0.194819,-0.150523,0.155363,0.506177,black
0.375,-0.208333,0.389589,0.0387697,0.43818,0.0258671,black
0.375,-0.583333,0.0439697,0.31195,-0.167159,0.174101,black
0.375,-0.833333,-0.0237873,-0.153791,0.26241,-0.45857,white
0.416667,-0.5,0.231703,0.516082,0.631382,-0.0185253,black
0.416667,-0.875,-0.262873,0.132796,-0.295948,0.0639143,white
0.458333,-0.583333,0.0659896,0.152511,-0.708587,-0.122951,black
0.5,-0.125,-0.0815344,-0.0994774,0.168708,-0.162184,white
0.5,-0.458333,0.167196,0.343736,0.00533928,0.173873,white
0.541667,-0.166667,-0.200338,0.0874477,0.644381,0.00765733,white
0.541667,-0.291667,0.0261248,0.0341681,0.0657425,-0.08451,white
0.583333,-0.0416667,0.101491,0.00260818,0.000582784,-0.104678,white
0.583333,-0.5,0.301748,0.377743,0.606126,0.0146318,white
0.583333,-0.625,0.0471022,-0.495436,-0.396888,-0.168326,white
0.625,-0.416667,0.178903,0.249215,-0.0144999,-0.0109102,white
0.625,-0.583333,0.188708,-0.0268372,0.134391,-0.0983721,white
0.666667,-0.208333,0.232553,0.332202,-0.214397,0.319567,white
0.708333,-0.25,-0.20056,0.531047,-0.47755,0.15302,white
0.708333,-0.375,0.259739,0.195106,-0.0037253,0.28068,white
0.75,-0.166667,-0.183075,0.121502,-0.102498,-0.324835,white
0.791667,-0.0833333,0.158741,-0.0519973,-0.0282237,-0.0647801,white
0.791667,-0.25,-0.316142,0.0938992,-0.670113,-0.207554,white
0.833333,-0.25,0.0710125,-0.0132192,-0.707427,0.140353,white
0.875,-0.166667,0.090147,-0.218222,0.131759,0.0443525,white
0.875,-0.291667,-0.228056,0.0942077,0.0914241,-0.515032,white
0.916667,-0.25,-0.196171,-0.244944,-0.384181,0.304456,white
0,-0.25,0.267613,0.369975,-0.505673,0.175129,black
0,-0.416667,-0.228363,0.0882963,-0.472851,-0.559876,white
0,-0.666667,-0.532763,-0.373027,0.35985,-0.290328,white
0,-0.916667,-0.122545,-0.202757,0.0995353,0.0169206,black
-0.0416667,-0.708333,-0.208172,-0.00187791,0.0394641,0.0274365,black
-0.0833333,-0.125,-0.207038,-0.30339,-0.252379,0.50435,black
-0.0833333,-0.625,0.0594418,-0.0397228,0.299279,0.148034,white
-0.0833333,-0.875,-0.272222,0.0552411,-0.47301,-0.238624,black
-0.125,-0.333333,-0.015973,0.186051,-0.0236467,0.398595,black
-0.125,-0.541667,-0.517564,-0.0772961,0.0555353,-0.157712,white
-0.125,-0.625,0.190192,0.316147,0.100576,0.0150268,black
-0.166667,-0.333333,0.146416,0.1509,0.465162,-0.16263,black
-0.166667,-0.833333,0.491802,-0.327891,0.159041,-0.0315919,black
-0.208333,-0.166667,0.10604,0.151671,0.0546035,0.266135,black
-0.208333,-0.708333,-0.276248,-0.103158,-0.383342,0.146903,black
-0.25,-0.0833333,0.179917,-0.336069,-0.0470189,0.166057,black
-0.25,-0.291667,-0.0141614,-0.368683,0.184673,-0.0540302,black
-0.25,-0.75,-0.257366,0.480338,0.178179,0.0876424,black
-0.291667,0,-0.098206,-0.262463,-0.395505,0.342992,black
-0.291667,-0.5,-0.00358365,-0.340602,-0.186811,-0.0997095,black
-0.291667,-0.916667,-0.228837,0.308956,-0.0924233,-0.0256388,black
-0.333333,-0.666667,0.0703232,-0.0783523,0.11149,0.0355881,black
-0.333333,-0.833333,-0.0385959,0.435804,-0.180357,-0.280106,black
-0.375,-0.25,0.0201238,-0.0321322,-0.32483,0.440925,black
-0.375,-0.583333,-0.052977,0.0675362,0.0464564,0.568954,black
-0.416667,-0.291667,-0.218003,0.10474,-0.227835,-0.0739963,black
-0.416667,-0.458333,0.22906,0.147404,0.414724,-0.144359,black
-0.416667,-0.875,-0.677991,0.315712,0.308663,-0.278404,black
-0.458333,-0.75,-0.160639,0.0319609,0.0999972,-0.189977,black
-0.5,-0.25,0.160513,0.428614,0.366233,0.338172,black
-0.5,-0.625,-0.234525,-0.0631167,-0.161269,-0.415254,black
-0.541667,0,0.700983,-0.0641468,0.156043,-0.272715,black
-0.541667,-0.5,-0.410269,0.156803,-0.286152,0.436156,black
-0.541667,-0.666667,-0.271716,-0.662408,0.0476184,0.107763,black
-0.583333,-0.333333,-0.148309,-0.383991,-0.350134,-0.564169,black
-0.583333,-0.666667,-0.0736083,-0.360941,-0.0971267,-0.444985,black
-0.625,-0.416667,-0.0773691,-0.204022,0.493596,0.130579,black
-0.625,-0.708333,-0.140057,-0.0740874,-0.0835546,0.0756964,black
-0.666667,-0.5,0.0796393,-0.478974,-0.19769,-0.161288,black
-0.708333,-0.0833333,0.437853,0.299994,0.268138,0.0506129,black
-0.708333,-0.583333,-0.0434551,-0.0398932,0.143956,-0.0929808,black
-0.75,-0.125,-0.393189,0.138409,0.138228,0.0302966,black
-0.791667,-0.166667,0.0463525,0.0610848,0.343476,-0.317132,black
-0.791667,-0.416667,0.2423,0.0479639,-0.178319,0.596971,black
-0.833333,-0.25,0.229784,-0.29038,0.477137,0.123254,black
-0.833333,-0.416667,0.0987095,-0.0370514,0.0959818,0.425537,black
-0.916667,-0.0416667,0.201739,0.116291,-0.551502,-0.245937,black
-0.916667,-0.25,0.0941701,-0.369546,-0.440655,0.330828,black
-0.958333,-0.208333,-0.157818,-0.348656,-0.588445,-0.131015,black
0,0.0416667,0.254662,-0.106376,-0.437953,0.171292,white
0,0.375,-0.169881,0.105913,-0.216279,-0.308495,black
0,0.916667,-0.440056,0.0512482,0.0644695,0.340571,white
-0.0416667,0.375,0.489411,-0.721544,0.296292,0.0445261,black
-0.0416667,0.666667,-0.0737973,-0.496238,-0.0395119,0.278142,white
-0.0833333,0.125,-0.273194,-0.0900127,0.207116,-0.0763871,white
